"study_name","species","n_control","n_crc","mean_control","mean_crc","sd_control","sd_crc","pooled_sd","smd","se_smd"
"FengQ_2015","Dialister pneumosintes",61,46,-5,-4.20237027180723,0,1.56754818245068,1.02620117165296,0.7772644879249,0.202507853184738
"FengQ_2015","Fusobacterium nucleatum",61,46,-5,-3.95122103950666,0,1.56948391112841,1.02746840353733,1.02074083921475,0.207591083886945
"FengQ_2015","Gemella morbillorum",61,46,-4.6840879099994,-3.57041195691382,0.837098359185147,1.65927108479387,1.25712121533406,0.885893849774575,0.204620999890418
"FengQ_2015","Parvimonas micra",61,46,-4.78868936080572,-3.55918739440928,0.727691078956467,1.78471863157702,1.29138900896149,0.952077149382884,0.206031565317424
"FengQ_2015","Peptostreptococcus stomatis",61,46,-4.87040900041885,-4.04460006230519,0.524510942535001,1.67485938125128,1.16593976542849,0.708277530795227,0.201299319928279
"GuptaA_2019","Dialister pneumosintes",30,30,-5,-3.93155815976803,0,1.97984545956724,1.39996215016139,0.763193376412927,0.267745978802572
"GuptaA_2019","Fusobacterium nucleatum",30,30,-5,-4.45743293738858,0,1.42154474491853,1.00518392889199,0.539768938814504,0.26301769706819
"GuptaA_2019","Gemella morbillorum",30,30,-5,-4.777933270687,0,0.855818164895293,0.605154827860089,0.366958535385492,0.260437163975365
"GuptaA_2019","Parvimonas micra",30,30,-5,-3.67654530483129,0,2.10689232489352,1.4897978501621,0.888345150333459,0.271053030176218
"GuptaA_2019","Peptostreptococcus stomatis",30,30,-5,-4.46213582955046,0,1.2513219347639,0.884818225519024,0.607880980451134,0.264295625685088
"HanniganGD_2017","Dialister pneumosintes",28,27,-5,-5,0,0,0,NA,NA
"HanniganGD_2017","Fusobacterium nucleatum",28,27,-5,-5,0,0,0,NA,NA
"HanniganGD_2017","Gemella morbillorum",28,27,-5,-4.84908628929911,0,0.784170643478073,0.549236409050478,0.27477004112271,0.271041645256911
"HanniganGD_2017","Parvimonas micra",28,27,-5,-5,0,0,0,NA,NA
"HanniganGD_2017","Peptostreptococcus stomatis",28,27,-5,-4.86251004927335,0,0.714418740566095,0.500381883573864,0.27477004112271,0.271041645256911
"ThomasAM_2018a","Dialister pneumosintes",24,29,-4.72775507744339,-4.73247979019188,0.926178543964293,1.03731582853356,0.988742810186114,-0.00477850528955312,0.275952258826065
"ThomasAM_2018a","Fusobacterium nucleatum",24,29,-5,-4.72416839856143,0,1.04679837411067,0.775634230164426,0.355620717487029,0.278189304181423
"ThomasAM_2018a","Gemella morbillorum",24,29,-4.91205876207086,-4.67864493269133,0.430822320550144,0.999811512521773,0.795310110306308,0.293487818593973,0.277477723518049
"ThomasAM_2018a","Parvimonas micra",24,29,-5,-4.51822499220047,0,1.28031306740023,0.948658944227058,0.507848485202511,0.280495909991377
"ThomasAM_2018a","Peptostreptococcus stomatis",24,29,-5,-4.84495350497321,0,0.834950928487841,0.618664049027526,0.250615007079383,0.277065315104858
"ThomasAM_2018b","Dialister pneumosintes",28,32,-5,-4.35147999367377,0,1.5497424779185,1.13299081001701,0.572396528367691,0.264175603309625
"ThomasAM_2018b","Fusobacterium nucleatum",28,32,-5,-4.41143971226249,0,1.26072875029202,0.921697706785194,0.638561085055059,0.2654796797569
"ThomasAM_2018b","Gemella morbillorum",28,32,-5,-3.4103002967187,0,1.7928173485957,1.31069878314635,1.21286425510002,0.282215631122064
"ThomasAM_2018b","Parvimonas micra",28,32,-5,-3.25105696274899,0,1.85218713248942,1.35410303933905,1.29158785294854,0.285210997586562
"ThomasAM_2018b","Peptostreptococcus stomatis",28,32,-5,-3.28127458383949,0,2.05624969631269,1.5032897673113,1.14330946270893,0.279701405911316
"ThomasAM_2019_c","Dialister pneumosintes",40,40,-4.77251854628754,-3.88858968119008,1.00450704134497,1.76346156744691,1.43506639149099,0.615949805764094,0.22898037878124
"ThomasAM_2019_c","Fusobacterium nucleatum",40,40,-4.73337995170224,-4.02627228383712,0.96280811880976,1.63099324498545,1.33924203167952,0.527990946474663,0.227567606741821
"ThomasAM_2019_c","Gemella morbillorum",40,40,-4.86079862554578,-3.07376441228915,0.658378147941021,1.85026655138792,1.38869508836015,1.28684419512628,0.246201501569738
"ThomasAM_2019_c","Parvimonas micra",40,40,-4.36018458677204,-2.63520221119154,1.23448088023732,1.80262285105419,1.54489355407003,1.11657037537378,0.240814981154571
"ThomasAM_2019_c","Peptostreptococcus stomatis",40,40,-4.73956883671676,-3.38444678258623,0.819763866831705,1.91531032709623,1.47316435716527,0.919871599892712,0.235423292536062
"VogtmannE_2016","Dialister pneumosintes",52,52,-5,-4.29072101276634,0,1.50273166624478,1.06259175150545,0.667499052414788,0.201607617725967
"VogtmannE_2016","Fusobacterium nucleatum",52,52,-5,-4.24800500431592,0,1.43612224761311,1.0154917799001,0.740522976717798,0.202853759325661
"VogtmannE_2016","Gemella morbillorum",52,52,-4.85314451522436,-4.2736948665184,0.601416661837243,1.43738983446486,1.10176938089565,0.525926440463357,0.199543013041273
"VogtmannE_2016","Parvimonas micra",52,52,-4.82546912093735,-4.24986148701337,0.741272818157771,1.53632895079228,1.20619070548195,0.477211133619194,0.198941861546306
"VogtmannE_2016","Peptostreptococcus stomatis",52,52,-4.94965292121708,-4.45678098185608,0.363057948243322,1.22569299196252,0.903917691034057,0.545261968263022,0.199797255817726
"WirbelJ_2018","Dialister pneumosintes",65,60,-5,-3.85290147451544,0,1.76452631424311,1.22208549494588,0.938640160797713,0.18876643562834
"WirbelJ_2018","Fusobacterium nucleatum",65,60,-4.95759021371929,-3.81946476599532,0.341918628045302,1.77598673341942,1.25450647195155,0.907229634258852,0.18814110983766
"WirbelJ_2018","Gemella morbillorum",65,60,-5,-3.59088368491594,0,1.72103753726307,1.19196579476842,1.1821784830309,0.19424820002469
"WirbelJ_2018","Parvimonas micra",65,60,-4.97552208296882,-3.02563420971778,0.197347276246815,1.97839858031462,1.3775851861555,1.41543905440266,0.200488053912346
"WirbelJ_2018","Peptostreptococcus stomatis",65,60,-5,-3.94971108004975,0,1.6597469842191,1.14951684104773,0.913678584293692,0.188267928135085
"YachidaS_2019","Dialister pneumosintes",251,258,-4.92470386468692,-4.46139283061784,0.540117177493122,1.3148409403168,1.0100432185838,0.458704167846105,0.089819469985908
"YachidaS_2019","Fusobacterium nucleatum",251,258,-4.87233471781042,-4.38133640285085,0.61520544767586,1.32595854291027,1.03819380451264,0.472935123312616,0.089892225775559
"YachidaS_2019","Gemella morbillorum",251,258,-4.77763275358053,-4.02287120674798,0.800542516481783,1.54297062523686,1.23402771876274,0.611624467876043,0.0907135731429499
"YachidaS_2019","Parvimonas micra",251,258,-4.57866658859302,-3.75907044582677,1.04959713242337,1.69415197373639,1.4135455715452,0.57981586109765,0.0905073341932649
"YachidaS_2019","Peptostreptococcus stomatis",251,258,-4.80499588485803,-4.14838720197094,0.763751494613342,1.52693045193134,1.21222313081618,0.541656619309847,0.0902738824625584
"YuJ_2015","Dialister pneumosintes",54,74,-4.80637324065801,-3.6254236906873,0.819606525720737,1.94924938279501,1.57604046719323,0.749314230537404,0.18509482649247
"YuJ_2015","Fusobacterium nucleatum",54,74,-4.89585067877508,-3.91640602045297,0.57293372884662,1.66624143692817,1.32159034326978,0.741110634857428,0.184963714214639
"YuJ_2015","Gemella morbillorum",54,74,-4.60340463699344,-3.09306008782214,1.02384867850098,1.82141955150036,1.53721210881062,0.982521891751098,0.189374716091172
"YuJ_2015","Parvimonas micra",54,74,-4.64347652743343,-2.65378319955687,1.02972915340054,2.02030713309924,1.67653724634469,1.18678742879983,0.193961791291659
"YuJ_2015","Peptostreptococcus stomatis",54,74,-4.86514470009089,-3.27665722449615,0.759856105974304,1.8506652763265,1.49237063048292,1.06440547887271,0.191122738502574
"ZellerG_2014","Dialister pneumosintes",61,53,-5,-3.63136765143834,0,1.9616238508415,1.33662134982298,1.02394919005515,0.199855061161467
"ZellerG_2014","Fusobacterium nucleatum",61,53,-5,-3.85412102941676,0,1.66544694592733,1.13481080685729,1.00975331188165,0.199532354974976
"ZellerG_2014","Gemella morbillorum",61,53,-4.51766764797945,-3.71510381441996,1.05618964652345,1.87417134064495,1.49278963837823,0.537626878514106,0.191185083548235
"ZellerG_2014","Parvimonas micra",61,53,-3.8546866122092,-2.86155188846666,1.41769591522276,2.14582257928723,1.79291397554487,0.553922127491212,0.191392640145352
"ZellerG_2014","Peptostreptococcus stomatis",61,53,-4.82186268504063,-3.26739612729053,0.615194000948887,1.97476156942639,1.41891353319483,1.09553297039183,0.201542475263282
